Order Date,Order ID,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Buyer Name,Currency,Group Name
11/01/16,002-1263345-7857802,"ExOfficio Men's Give-N-Go Boxer,Black,Medium",Sports Apparel,"B0036ZA02E","53102300",Amazon.com,,new,"MEET CUTE EVENTS, LLC",,$26.00,$15.59,1,"American Express - 4242",,,hoohah@hotmail.com,11/05/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA109359633000),$15.59,$0.00,$15.59,,,,James,USD,
11/01/16,002-1263345-7857802,"Fruit of the Loom Men's 6-Pack Stay Tucked Crew T-Shirt,White,Medium",Apparel,"B00VTV8ISK","53102301",Amazon.com,,new,Amazon.com,,$21.00,$12.39,1,"American Express - 4242",,,hoohah@hotmail.com,11/01/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA107117007000),$12.39,$1.19,$13.58,,,,James,USD,
11/01/16,002-1263345-7857802,"Freshware 15-Pack 2 Compartment Bento Lunch Boxes with Lids - Stackable, Reusable, Microwave, Dishwasher & Freezer Safe - Meal Prep, Portion Control,",Kitchen,"B01IIINCRS",,Amazon.com,,new,Freshware Inc.,,$0.00,$12.99,1,"American Express - 4242",,,hoohah@hotmail.com,11/01/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA107117007000),$12.99,$0.00,$12.99,,,,James,USD,
11/02/16,102-9681950-5505022,HP 564 Black Original Ink Cartridge (CB316WN),Office Product,"B00191TTGA","44103105",Amazon.com,,new,Amazon.com,,$15.48,$13.99,1,"Visa - 0303",,,hoohah@hotmail.com,11/02/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090108029121),$13.99,$1.34,$15.33,,,,James,USD,
11/02/16,108-1027469-0486637,"Tribe AB37 Water Resistant Sports Armband with Key Holder for iPhone 6, 6S (4.7-Inch), Galaxy S3/S4, iPhone 5/5C/5S, Bundle with Screen Protector",Wireless Phone Accessory,"B00SXRXUFE","43191600",Amazon.com,,new,Tribe Fitness,,$29.99,$9.98,1,"American Express - 4242",,,hoohah@hotmail.com,11/03/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090108114230),$9.98,$0.00,$9.98,,,,James,USD,
11/02/16,114-5290722-5266628,"Modovo Men's Winter Outdoor Warm Cycling Gloves Touchscreen Gloves With Zipper for Smart Phone(Large,Black))",Misc.,"B00PXTIH3A","53102504",Amazon.com,,new,Gadget Ninja,,$22.00,$8.99,1,"American Express - 4242",,,hoohah@hotmail.com,11/03/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090108333785),$8.99,$0.00,$8.99,,,,James,USD,
11/04/16,106-4158711-5973842,HP 564XL/564 High Yield Black and Standard C/M/Y Color Ink Cartridges (In Retail Packing),Office Product,"B0094V8B8O","44103105",Amazon.com,,new,SimpleIsKing,,$0.00,$63.99,1,"American Express - 4242",,,hoohah@hotmail.com,11/04/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090108872765),$63.99,$0.00,$63.99,,,,James,USD,
11/06/16,108-0878139-8306668,Gold Medal Prod. 2045 Flavacol Seasoning Popcorn Salt 35oz.,Grocery,"B004W8LT10","50171551",Amazon.com,,new,Great Household,,$20.06,$7.52,1,"American Express - 4242",,,hoohah@hotmail.com,11/07/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA110681485000),$7.52,$0.00,$7.52,,,,James,USD,
11/09/16,114-5082319-6692250,hiccapop Wipe Warmer and Baby Wet Wipes Dispenser | Holder | Case with Changing Light,Baby Product,"B01LZJVSTE","56101800",Amazon.com,,new,Keezio,,$29.99,$19.92,1,"American Express - 4242",,,hoohah@hotmail.com,11/10/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA112827021000),$19.92,$1.91,$21.83,,,,James,USD,
11/09/16,114-6501472-7564236,Lysol Bowl Brush with Rim Extension and Caddy,Misc.,"B004I2EONK","47131605",Amazon.com,,new,MyOfficeInnovations,,$0.00,$8.65,2,"American Express - 4242",,,hoohah@hotmail.com,11/11/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,UPS(1Z97X8350318168278),$17.30,$1.66,$18.96,,,,James,USD,
