Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
11/01/16,002-1263345-7857802,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/05/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA109359633000),$15.59,$0.00,$0.00,$0.00,$0.00,$15.59,James,
11/01/16,002-1263345-7857802,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/01/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA107117007000),$25.38,$0.00,$1.19,$0.00,$1.19,$26.57,James,
11/02/16,102-9681950-5505022,"Visa - 0303",Amazon.com,,hoohah@hotmail.com,11/02/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090108029121),$13.99,$0.00,$1.34,$0.00,$1.34,$15.33,James,
11/02/16,108-1027469-0486637,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/03/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090108114230),$9.98,$0.00,$0.00,$0.00,$0.00,$9.98,James,
11/02/16,114-5290722-5266628,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/03/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090108333785),$8.99,$0.00,$0.00,$0.00,$0.00,$8.99,James,
11/04/16,106-4158711-5973842,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/04/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090108872765),$63.99,$3.99,$0.00,$3.99,$0.00,$63.99,James,
11/06/16,108-0878139-8306668,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/07/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA110681485000),$7.52,$0.00,$0.00,$0.00,$0.00,$7.52,James,
11/09/16,114-5082319-6692250,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/10/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA112827021000),$19.92,$0.00,$1.91,$0.00,$1.91,$21.83,James,
11/09/16,114-6501472-7564236,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/11/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,UPS(1Z97X8350318168278),$17.30,$0.00,$1.66,$0.00,$1.66,$18.96,James,
11/09/16,115-5172292-3995447,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/10/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA112827021000),$5.84,$0.00,$0.56,$0.00,$0.56,$6.40,James,
11/11/16,114-3078523-7422660,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipment planned,,$19.98,,,,,,James,
11/16/16,108-8070499-0202615,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/18/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,FedEx(9261299992193845463214),$23.71,$0.00,$2.04,$0.00,$2.04,$25.75,James,
11/21/16,106-4656789-9498659,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/21/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9361289674090147894258),$52.24,$13.99,$5.02,$13.99,$5.02,$57.26,James,
11/21/16,106-4656789-9498659,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/21/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9361289674090147917025),$10.98,$5.99,$0.00,$5.99,$0.00,$10.98,James,
11/21/16,106-5270835-9345035,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/22/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,FEDEX(672176039562),$43.63,$10.98,$2.75,$0.00,$2.75,$57.36,James,
11/22/16,107-1647786-1817828,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/23/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA121823623000),$59.99,$0.00,$5.20,$0.00,$5.20,$65.19,James,
11/22/16,107-1647786-1817828,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/22/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,FEDEX(634259045534),$34.99,$0.00,$2.27,$0.00,$2.27,$37.26,James,
11/22/16,107-8280102-4024211,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/23/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,UPS(1Z190RA90336836011),$13.99,$0.00,$0.00,$0.00,$0.00,$13.99,James,
11/22/16,108-9246168-0323408,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/23/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090117051519),$13.95,$0.00,$0.00,$0.00,$0.00,$13.95,James,
